nominal_force,initial_force,final_force,mean_volts_per_volt,std_volts_per_volt,mean_force_lbf,mean_force_newtons
0.0,0.0,0.0,-3.088633528478406e-06,1.364995262459775e-06,0.0,0.0
55.55555555555556,59.0,58.5,0.00034565329682295014,1.4481085328974308e-06,58.75,261.333020175
111.11111111111111,113.0,112.5,0.0006680388544472957,1.5113343270007396e-06,112.75,501.536987655
166.66666666666669,169.0,168.0,0.0009989732011347775,1.5319250741201084e-06,168.5,749.52534297
222.22222222222223,222.0,221.0,0.0013137009426264555,1.6172661285766703e-06,221.5,985.28108883
277.77777777777777,278.0,277.5,0.0016507218283766756,1.6018623018360664e-06,277.75,1235.493554955
333.33333333333337,331.5,330.5,0.0019702876873910597,1.6109857891994298e-06,331.0,1472.36135622
388.8888888888889,390.0,388.5,0.0023215706683159592,2.00246944138394e-06,389.25,1731.470265585
444.44444444444446,442.5,441.5,0.0026405169931864106,1.8090727795432126e-06,442.0,1966.11395604
500.0,498.0,497.0,0.0029722343693052277,1.783121716208917e-06,497.5,2212.99025595
