nominal_torque,initial_torque,final_torque,mean_volts_per_volt,std_volts_per_volt,mean_torque
360.0,362.003392590192,361.5514532736,0.002937941684994877,1.7017616585179454e-06,361.777422931896
320.0,319.52109683054397,319.52109683054397,0.002626826750640974,8.801890271560947e-07,319.52109683054397
280.0,276.586861754304,276.586861754304,0.002286262065676611,8.850760484509685e-07,276.586861754304
240.0,240.431716426944,240.431716426944,0.0019943472703788765,9.216557178823672e-07,240.431716426944
200.0,200.661056566848,201.11299588344,0.0016725585254551804,1.011692254191879e-06,200.88702622514398
160.0,160.43845739015998,160.890396706752,0.0013466531854634152,1.0738972989814333e-06,160.664427048456
120.0,120.215858213472,121.11973684665601,0.0010127451190619736,1.4300225949606225e-06,120.66779753006401
80.0,79.993259036784,80.89713766996799,0.0006807701209177624,1.6652183879401804e-06,80.44519835337599
40.0,41.578417126464,42.482295759648,0.0003633155686987591,1.7590166979676715e-06,42.03035644305599
0.0,0.0,0.0,1.6937236068353824e-05,9.65457011022225e-07,0.0
