nominal_force,initial_force,final_force,mean_volts_per_volt,std_volts_per_volt,mean_force_lbf,mean_force_newtons
0.0,0.0,0.0,2.2468762719168313e-05,2.110505587606095e-06,0.0,0.0
55.55555555555556,59.5,59.0,0.00037456183279288075,2.18442371890984e-06,59.25,263.557130985
111.11111111111111,112.0,111.5,0.0006890495517941192,2.3480155605390195e-06,111.75,497.088766035
166.66666666666669,166.0,165.0,0.0010120610882700793,2.394806182225446e-06,165.5,736.18067811
222.22222222222223,221.0,220.0,0.0013405558576481396,2.646781389315286e-06,220.5,980.83286721
277.77777777777777,278.5,277.5,0.0016850426566262576,2.694060978642552e-06,278.0,1236.60561036
333.33333333333337,331.0,330.0,0.002001002163381681,2.701359223594854e-06,330.5,1470.13724541
388.8888888888889,389.0,387.5,0.0023486009852580927,2.8673162696183316e-06,388.25,1727.022043965
444.44444444444446,446.5,445.0,0.002692033047290266,2.711504228061463e-06,445.75,1982.794787115
500.0,499.0,497.5,0.003005673931258379,3.004788297102361e-06,498.25,2216.326422165
