nominal_force,initial_force,final_force,mean_volts_per_volt,std_volts_per_volt,mean_force_lbf,mean_force_newtons
500.0,500.0,499.0,0.003014266559589525,2.4750384949638237e-06,499.5,2221.88669919
444.44444444444446,437.0,437.5,0.0026465937911385184,2.0919690997990954e-06,437.25,1944.984903345
388.8888888888889,382.5,382.5,0.002318172010144319,2.104420651535372e-06,382.5,1701.44476965
333.3333333333333,334.0,334.0,0.0020287930644199803,2.123632125543389e-06,334.0,1485.70602108
277.77777777777777,277.0,277.5,0.001687727410721874,2.1684475332780032e-06,277.25,1233.269444145
222.22222222222223,222.0,222.5,0.001356652969749801,2.237721206606968e-06,222.25,988.617255045
166.66666666666663,168.0,168.5,0.0010334270160489104,2.3156837927790003e-06,168.25,748.413287565
111.11111111111109,112.5,113.5,0.0007018046583555761,2.4137651216595342e-06,113.0,502.64904306
55.55555555555554,56.0,57.5,0.00036496019860325835,2.610827697832848e-06,56.75,252.436576935
0.0,0.0,0.5,2.69512804165298e-05,2.1110678335647225e-06,0.25,1.112055405
